Date,Close/Last,Volume,Open,High,Low
04/22/2025,$138.74,8227962,$136.745,$139.10,$136.49
04/21/2025,$136.14,8128290,$134.73,$136.55,$133.36
04/17/2025,$136.66,7135854,$137.38,$138.15,$135.71
04/16/2025,$135.74,10417220,$133.68,$137.31,$131.79
04/15/2025,$138.60,6346797,$139.46,$140.835,$138.03
04/14/2025,$139.19,6930331,$142.75,$143.11,$136.83
04/11/2025,$139.25,10955260,$134.00,$140.65,$131.11
04/10/2025,$134.40,14898760,$137.01,$139.0599,$129.29
04/09/2025,$143.59,21242590,$125.155,$144.86,$124.19
04/08/2025,$124.66,14965910,$131.13,$135.29,$121.74
04/07/2025,$129.72,17938330,$124.59,$137.20,$120.8019
04/04/2025,$127.46,19018560,$134.34,$135.86,$126.68
04/03/2025,$139.42,16464970,$147.00,$147.40,$138.56
04/02/2025,$154.08,5377181,$150.79,$155.46,$150.37
04/01/2025,$153.05,5708940,$152.39,$153.32,$150.265
03/31/2025,$153.61,8613591,$150.805,$153.85,$147.88
03/28/2025,$152.72,8917986,$156.92,$157.64,$151.56
03/27/2025,$157.97,6101990,$158.21,$159.25,$155.75
03/26/2025,$158.39,5965132,$159.45,$160.81,$156.85
03/25/2025,$160.15,3978200,$159.88,$161.47,$159.42
03/24/2025,$160.08,6033350,$160.00,$161.00,$158.80
